Sede,Operador,Servicio,Tensión,nov-2025,dic-2025,ene-2026,feb-2026,mar-2026,abr-2026
ENGATIVA,Enel,Regulado,1,10817,10817,10817,10817,10817,10817
ENGATIVA,Enel,Regulado,1,15144,15144,15144,15144,15144,15144
FONTIBON,Enel,Regulado,1,32150,32150,32150,32150,32150,32150
FUNZA / MERCADEO,Enel,Regulado,1,6651,6651,6651,6651,6651,6651
FUNZA / MERCADEO,Enel,Regulado,1,6613,6613,6613,6613,6613,6613
GAITAN SUPERMERCADO,Enel,Regulado,1,16139,16139,16139,16139,16139,16139
OFICINA 93 501,Enel,Regulado,1,221,221,221,221,221,221
OFICINA 93 502,Enel,Regulado,1,958,958,958,958,958,958
QBURGUER CALLE 93,Enel,Regulado,1,862,862,862,862,862,862
QBURGUER ENGATIVA,Enel,Regulado,1,356,356,356,356,356,356
QBURGUER ESMERALDA,Enel,Regulado,1,2058,2058,2058,2058,2058,2058
SAN CRISTOBAL NORTE,Enel,Regulado,1,9384,9384,9384,9384,9384,9384
SUBA TIBABUYES,Enel,Regulado,1,11034,11034,11034,11034,11034,11034
SUBA TIBABUYES,Enel,Regulado,1,2476,2476,2476,2476,2476,2476
TOCANCIPA,Enel,Regulado,1,1879,1879,1879,1879,1879,1879